operating_point,threshold,ROC_AUC,PR_AUC,F1,precision_pos,recall_pos,specificity,TP,FN,FP,TN
perfold_tau (OOF),,0.8666666666666667,0.8740986658505839,0.6842105263157895,0.5652173913043478,0.8666666666666667,0.5,13,2,10,10
tau_star_maxF1,0.6001707315444946,0.8666666666666667,0.8771957671957672,0.7692307692307693,0.9090909090909091,0.6666666666666666,0.95,10,5,1,19
tau_10%_FPR,inf,0.8666666666666667,0.8771957671957672,0.0,0.0,0.0,1.0,0,15,0,20
tau_80%_recall,0.41905680298805237,0.8666666666666667,0.8771957671957672,0.7058823529411765,0.631578947368421,0.8,0.65,12,3,7,13
